,text
22,"Habt Ihr es schon gesehen? 🤫 Jetzt ganz neu bei uns: Bio Kiefernnadeln 🌲 Perfekt zur Zubereitung von Tee oder als Badezusatz 🍵🛀

Ausprobieren lohnt sich! 🥰 ➡️ Link in Bio!
.
.
.
.
#Kamelur #bio #tee #tea #kiefernnadeln #tree #vegan #veggie #biolebensmittel #biotees #lecker #gesund #gesundimalltag"
23,"vegane Kräuterbutter - ein Highlight auf jedem Brot 😍😋

Ihr braucht:
🌿 50g Bio Kakaobutter
🌿 130ml Bio Sonnenblumenöl
🌿 2TL Salz
🌿 2TL Bio Basilikum getrocknet
🌿 1 1/2TL Bio Knoblauchgranulat
🌿 1TL Bio Rosmarin, getrocknet
🌿 1TL Bio Thymian, getrocknet
🌿 Bio Kornblumenblüten
🌿 Bio Ringelblumenblüten

Alle Zutaten findet Ihr natürlich in unseren Online Shop!💚 ➡️Link in Bio!

Und so geht's:

1️⃣ die Kakaobutter in einem Topf bei niedriger Hitze schmelzen. Danach das Sonnenblumenöl hinzugeben und alles gut vermischen.

2️⃣ Wenn die Masse Handwarm ist, können die Kräuter hinzugegeben werden. Die flüssige Kräuterbutter abkühlen lassen (am besten über Nacht oder für min. 5h) und immer mal wieder umrühren.

3️⃣ Sobald die Masse abgekühlt und hart ist, kann die Kräuterbutter aufgeschlagen werden. Am besten passt Sie zum grillen oder einfach auf Brot! 🥖

.
.
.
.
#kamelur #bio #biolebensmittel #kräuter #kräuterbutter #veganerezepte #veganebutter #schnell #grillen #sommer #sommerrezepte #veganesdeutschland #kochen #kochenmitliebe #kochenmachtglücklich"
24,Kräuterbutter ist ein muss im Sommer!
25,"Sorry, was ist gemeint mit Aufschlagen? Ich habe noch keine Butter gemacht."
26,Sieht super lecker aus 😍
27,"Eine absolute Nährstoffbombe: Bio Gerstengraspulver ?! 🤔

Was Gerstengras alles in sich hat, wie ihr es verwendet und auch dieses leckere #greenSmoothie Rezept, findet Ihr in unseren aktuellen Blogbeitrag! 🤓 ➡️ Link in Bio!
.
.
.
.
#Kamelur #bio #biolebensmittel #gesund #gesundeernährung #Smoothie #green #healthy #gerstengras #superfood"
28,😍😍
29,"Süd- vs. Nordamerika, welche Nuss ist euer Favorit? 🤔😋

.
.
.
.
#Kamelur #bio #bionüsse #paranüsse #paranuss #pekannüsse #pekan #vegan #ohnezusätze #gesund #nuts #naschen"
30,😍😍😍
31,"Wie sieht euer perfekter Start in den Tag aus?😊 Bei uns beginnt ein neuer Tag mit einem leckeren Sanddorn-Chiasamen-Pudding🍨😋

Ihr braucht:
🌿 260ml Bio Hafermilch
🌿 40ml Bio Sanddornsaft
🌿 30g Bio Chiasamen
🌿 20g Bio Dattelzucker
🌿 Bio Gojis

➡️ Die Chiasamen einfach mit dem Dattelzucker, der Hafermilch und dem Sanddornsaft vermischen und mindestens für 4h im Kühlschrank quellen lassen. Guten Appetit! 🤤
.
.
.
.
#Kamelu #bio #biolebensmittel #vegan #veganesdeutschland #chia #chiasamen #chiasamenpudding #sanddorn #superfood #goji #gojibeeren #frühstück #veganesrezept #rezeptideen #veganerezeptideen #chiapudding"
32,"Liebes Kamelur Team. Da Ihr ja besseres zu tun habt, als auf emails eurer Kunden zu antworten, versuche ich es mal auf diesem Wege: Es wäre nett wenn Ihr auch mal auf unsere Reklamations E-mail zu den schimmeligen Walnüssen antworten könntet. Für Fotos posten habt ihr hier ja wohl auch Zeit. Kein guter Kundenservice!"
33,Ich liebe eure Produkte 🤩
34,hm lecker😍😍❤️
35,"Wuhuuu, es geht endlich vorwärts! 😍
Was ist zuletzt passiert:
🌿 Um Eigenstrom produzieren zu können, wurde geprüft, ob und wie unsere PV-Anlage auf unser Firmendach passt 🤔 Für die Solaranlage werden um die 500m² gebraucht, die eine Leistung von ca. 99,36kWp (Kilowatt-Peak) produziert. 1kWp entspricht ca. 1000kWh. Da unser Stromverbrauch laut den ersten Messungen nicht ganz so hoch ist, sollte das auf jeden Fall erst einmal reichen!😊

.
.
.
.
#Kamelur #bio #biolebensmittel #vegan #veggie #gesund #gesundimalltag #rezepte #klimaneutral #klimaneutralität #nachhaltigkeit #nachhaltig"
36,Ton cliché est cool !
37,"Ob in Salat, Pesto oder einfach so zum naschen: Unsere Bio Zedernüsse 😋
.
.
.
.
#Kamelur #Bio #biolebensmittel #nüsse #nuts #zedernüsse #pesto #salat #geusnd #gesundimalltag #food #lecker"
38,"Zucchini-Fächer mit Tomaten und Feta 🍅🤤

Ihr braucht:
🌿 2 Bio Zucchinis
🌿 3EL Olivenöl
🌿 1EL Honig
🌿 1TL Bio Rosmarin, getrocknet
🌿 1TL Bio Thymian, getrocknet
🌿 8 Bio Tomaten, getrocknet
🌿 Salz, Pfeffer
🌿 1 Pckg. Feta

so geht's:

1️⃣ Die Zucchinis gründlich reinigen und trocknen und alle 3-4mm einschneiden. Aber aufpassen, die Zucchini nicht bis unten durchschneiden. Legt die Zucchini am besten in eine Auflaufform.

2️⃣ Rührt das Öl mit dem Honig, Rosmarin, Thymian; Salz und Pfeffer zusammen und bestreicht die Zucchini mit dem Dressing. Achtung: Nicht die Zwischenräume vergessen. Backt sie bei ca. 200° Ober und Unterhitze für 20min.

3️⃣ In der Zwischenzeit die Tomaten klein schneiden und den Feta zerkleinern. Nach den 25min Backzeit kann die Tomaten-Feta-Mischung auf die Zucchiniverteilt werden. Danach nocheinmal für ca. 10min backen.

Guten Appetit 😋
.
.
.
.
#Kamelur #Bio #biolebensmittel #essen #food #dinner #backen #kochen #backenmachtglücklich #kochenmitliebe #veggie #vegetarisch #vegetarischerezepte #vegetarischkochen"
39,Wow das sieht soooo gut aus😍
40,"Hmm, sieht sehr lecker aus😍😍🤗 schau gerne auch mal bei mir vorbei 😊🌼"
41,👏👏👏
42,"Intuitives ernähren - Gegessen wird, wenn man wirklich Hunger hat 🥙
Was es mit dieser Ernährungsform auf sich hat und was Ihr dabei beachten solltet, klären wir in unseren neuen Blogbeitrag! 🤓 ➡️ Link in Bio!

Dir gefällt der Beitrag? Dann lass uns doch gern ein Like oder Kommentar da! 💚
.
.
.
.
#Kamelur #bio #biolebensmittel #vegan #biologisch #essen #intuitivesernähren #intuitivesessen #gesund #gesundimalltag #gesundelebensmittel #food"
43,"uper lecker: Unser Bio Rote Beete Pulver 😋🌿

🌱 sehr gut dosierbar
🌱 ohne Zusätze
🌱 farblichen Pepp in Speisen und Getränken

Habt Ihr es schon einmal ausprobiert? 😍💚
.
.
.
.
#Kamelur #bio #vegan #rotebeete #food #beetroot #powder #ohnezusätze #healthy #gesund #gesundimalltag"
44,Perfekt zum Backen! 😍
45,🔥🔥🔥
46,"Lust auf einen gesunden und köstlichen Salat? 😋🥗 Dann haben wir genau das richtige für euch! 😍

Für den Quinoa-Salat braucht ihr:
🌿 100g Bio Quinoa
🌿 300g Bio Kidneybohnen
🌿 50g Mais
🌿 1 rote Zwiebel
🌿 1 Avocado
🌿 2-3 Tomaten
🌿 1 Paprika
🌿 1EL Bio Zitrone
🌿 Öl, Salz, Pfeffer

so geht's:

1️⃣ Die Kidneybohnen über Nacht in Wasser einweichen. Danach mit frischem Wasser für ca. 60min ohne Salz weich kochen. Den Quinoa gründlich abspülen und anschließend mit der doppelten Menge an Wasser für ca. 15-20min köcheln lassen.

2️⃣ In der Zwischenzeit die Avocado, Tomaten, Zwiebel und Paprika klein schneiden. Die Zitrone auspressen.

3️⃣ Wenn der Quinoa fertig ist, kurz abkühlen lassen und alles miteinander vermengen. Mit Salz und Pfeffer abschmecken und optional ein wenig Öl hinzufügen. Guten Appetit! 😋
.
.
.
.
#Kamelur #Bio #salat #quinoa #quinoasalat #vegan #veganesessen #veganfood #food #lunch #dinner #quinoabowl #quinoarecipes #veganerezepte #veganrecipes"
47,😋
48,Send Pics On🤍 @house_of_food._
49,"Ihr liebt Speck genau so sehr wie wir? 🤤🥓 dann müsst Ihr einmal unseren #veganen Bacon probieren! 😍

Ihr braucht:
🌿 3 Reispapiere
🌿 1EL Olivenöl
🌿 1EL Zuckerrübensirup
🌿 1 1/2 EL Bio Sojasauce
🌿 1TL Bio Tomatenmark
🌿 1/2TL Senf
🌿 1/2TL Bio BBQ Rub ""Deftiger Rauch""
🌿 1/2TL Bio Knoblauch
🌿 1/2TL Bio Paprikapulver edelsüß
🌿 1/3TL Salz

so geht's:

1️⃣ Den Ofen auf 200° Ober-/Unterhitze vorheizen und ein Backblech mit Backpapier auslegen.

2️⃣ Das Olivenöl mit dem Zuckerrübensirup, Tomatenmark, Senf, Sojasauce und den Gewürzen zu einer Marinade vermischen. Das Reispapier in Streifen schneiden.

3️⃣ Eine Schüssel mit Wasser vorbereiten, in dem das Reispapier ca. 5s einweichen und anschließend auf das Backblech legen.

4️⃣ Das Reispapier auf beiden Seiten mit der Marinade einpinseln. Den Speck für ca. 8-10min backen.❗Vorsicht: das Reispapier verbrennt sehr schnell. Den Bacon vollständig auskühlen lassen. Guten Appetit! 😋
.
.
.
.
#Kamelur #Bio #vegan #veganbacon #veganerspeck #food #snack #veganersnack #bacon #backen #backenmitliebe #veganerezepte #veganerezeptideen #lecker"
50,"Quinoa - immer noch ein echtes Superfood! 😋🌿 Warum und wie Ihr den Quinoa verwendet, erfahrt Ihr in unseren neuen Blogbeitrag! 🤓 ➡️Link in Bio!
.
.
.
.
#Kamelur #Bio #biolebensmittel #quinoa #superfood #vegan #food #lecker #bowl #gesund #gesundimalltag"
51,Send pic 👉@food._brand
52,"Es geht doch nichts über eine schnelle und leckere Lunch-Bowl! 😋🥙
Perfekt zum Mittag auf Arbeit, zu Hause oder für unterwegs! Einfach am Vortag vorbereitet 😊

Ihr braucht:
🌿 75g Bio Bulgur
🌿 150ml Wasser
🌿 10g Bio Gemüsebrühe
🌿 200g Bio Kidneybohnen, gekocht
🌿 25g Bio Buchweizen, gepufft
🌿 50g Bio Mehl
🌿 2-3 Bio Karotten
🌿 Salz, Pfeffer

so funktioniert es:
➡️ Bulgur mit der Gemüsebrühe und dem Wasser aufkochen und für 10min köcheln lassen. Die gekochten Kidneybohnen zerkleinern und mit den Buchweizen, Mehl, Salz und Pfeffer vermischen und in etwas Öl anbraten. Die Karotten waschen, vierteln und über etwas Wasser dämpfen. Mit veganen Honig-Senf-Dressing genießen! 😋
.
.
.
.
#Kamelur #bio #vegan #biolebensmittel #rezepte #rezeptideen #bowl #lunchbowl #food #veganesdeutschland #veganerezepte #veganeslunch #veganfood #mittag"
53,Send pic ❣️ @dream._food_
54,"Frühling ist Bärlauch-Zeit 😍 Und da gibt es nichts besseres als Bärlauch Pesto 🤤

Für das Bärlauch Pesto braucht Ihr:
🌿 90g Bärlauch
🌿 100g Bio Walnüsse
🌿 100g Parmesan
🌿 250ml Olivenöl
🌿 Salz, Pfeffer

➡️ Zuerst die Walnüsse in einer Pfanne kurz anrösten. Außerdem den Bärlauch waschen, die Stiele abschneiden und klein schneiden. Danach alles in einen Mixer geben und pürieren.
Guten Appetit! 😋
.
.
.
.
#Kamelur #bio #bärlauch #pesto #grünespesto #pasta #brot dip #food #rezept #rezeptideen #lecker #kochen #kochenmitliebe"
55,"Sehr lecker 😋- und wir haben den Vorteil, dass der Bärlauch sogar bei uns im Beet wächst..."
56,"Ein Traum in Pink: Unsere Bio Himbeeren 😍
Unsere Gefriergtrockneten Bio Himbeeren sind der perfekte Snack für zwischendurch oder passen perfekt in Smoothies oder Bowls 😋

Probiert Sie doch einmal aus! 💞
.
.
.
.
#Kamelur #Bio #himbeeren #raspberries #food #snack #biolebensmittel #vegan #vegetarisch #sogood"
57,Ich liebe es 😍
58,Oh das sieht lecker aus. Ich liebe Himbeeren ❤️
59,"#Selfmade vegane Pasta 🤤🍝

Ihr braucht:
🌿 500g Bio Hartweizengrieß
🌿 100g Bio Spinat
🌿 stilles Wasser

➡️ Zuerst sollte der Spinat blanchiert werden und anschließend püriert. Gebt den Spinat in einen Messbecher und füllt bis zur 230ml-Markierung Wasser auf. Streut den Hartweizengrieß auf eine saubere Arbeitsfläche und formt eine Mulde. In die Mulde gebt Ihr nun den Spinat mit dem Wasser und knetet dann alles zu einem glatten Teig. Den Teig für ca. 60min im Kühlschrank gehen lassen. Danach nach belieben zu Linguine, Spaghetti oder Lasagne weiterverarbeiten. 😋

❗Wenn Ihr Pasta auf Vorrat machen wollt, dann sollte diese ca. 48h gut durchtrocknen. Die Pasta ist getrocknet, wenn sie beim biegen brechen. 😊
.
.
.
.
#Kamelur #bio #pasta #vegan #veganepasta #nudeln #nudelliebe #jhomemade #homemadepasta #veganerezepte #veganerezeptideen #pastaliebe #veganesdeutschland #biolebensmittel #gesundimalltag #food"
60,"🐣🌷🐰Perfekt für Ostern - unsere Karotten-Frischkäse Küchlein 🥰

Was Ihr alles braucht und wie es funktioniert, erfahrt Ihr in unseren neuen Blogbeitrag 🐰➡️ Link in Bio!
.
.
.
.
#Kamelur #bio #ostern #osterfest #krotten #karottenkuchen #food #lecker #osteressen #easter #dessert #cake #backen #backenmitliebe #backenmachtglücklich"
61,Oh liebe Karotten muffins / Cupcakes! 😍
62,Send me pics on @ultimate__foods__
63,"🆕 Ganz neu bei uns: Bio Himbeerblätter 🍃😋

Unsere Bio Himbeerblätter
🌿 wurden natürlich getrocknet
🌿 stammen aus einer Wildsammlung
🌿 haben einen leicht herben Geschmack

Probiert sie doch einmal aus! 🥰 ➡️ Link in Bio!
.
.
.
.
#Kamelur #bio #biolebensmittel #tee #himbeere #raspberry #biotee #gesund #gesundimalltag #vegan #veganelebensmittel #nachhaltig #nachhaltigeverpackung #biologisch"
64,"Wie werden wir Klimaneutral? 🤔 Um Klimaneutral zu werden, müssen wir unseren CO2-Fußabdruck berechnen lassen🔋Dafür haben wir nach einer Firma geschaut, die mit uns dieses Projekt am besten umsetzten kann! 🌿

Mit Hilfe der Firma @praeg_gruppe haben wir nicht nur einen Partner gefunden, mit der wir das Projekt umsetzen wollen, sondern auch einen Partner der Zuverlässig ist, unsere Firma auf erneuerbare Energie umrüsten wird und mit uns unseren CO2-Fußabdruck berechnet hat! 🏭 Seid gespannt, wie es weiter geht! 🥰
.
.
.
.
#Kamelur #Klimaneutral #bio #biolebensmittel #klimaneutralität #klimaneutralwerden #co2 #co2fussabdruck #nachhaltig #nachhaltigkeitsupdates"
65,"Vegane Hefeosterhasen, Früchtebrötchen mit Aprikosen und Weinbeeren oder doch lieber Bärlauch-Fingerbrötchen? 😏

Passend zu Ostern haben wir für euch die perfekten Oster-Hefeteig-Rezepte! 😍 ➡️ Link in Bio!🐰🐣
.
.
.
.
#Kamelur #Bio #vegan #hefeteig #food #vegan #veganerezepte #veganesbacken #veggie #veganesostern #food #backen #backenmachtglücklich #backenmitliebe #süß #herzhaft"
66,Wie toll😍
67,"Was mögt Ihr lieber? Kichererbsen oder Rote Linsen? 🤔
.
.
.
.
#kamelur #bio #vegan #fusilli #veganesessen #veganfood #noodles #kichererbsenfusilli #rotelinsenfusilli #food #pasta #pastaliebe #pastalove"
68,"Bohnen sind doch manchmal am besten! 😍 Bohnensalat aus Pintobohnen ist nicht nur schnell gemacht, sondern auch noch echt lecker 🤤🥗

➡️ Einfach die Pintobohnen am Vortag in Wasser einweichen. Am nächsten Tag die Bohnen in frischen Wasser kochen. Mit Salz, Öl, Zwiebel, Pfeffer und Essig abschmecken und danach genießen! Guten Appetit!😋

Bio Pintobohnen und viele mehr findet Ihr in unseren Online Shop🥰 ➡️Link in Bio!
.
.
.
.
#Kamelur #bio #vegan #veggie #bohnen #beans #food #veganesessen #veganerezepte #veganerezeptideen #foodlove"
69,𝕊𝕖𝕟𝕕 𝕡𝕚𝕔𝕤 𝕠𝕟 @food.hub.ig💫
70,"Ist euch das schon einmal aufgefallen? 🤔 Auf alkoholischen Getränken fehlen die Zutatenliste und Nährwerte!🍷

Warum das so ist und welche Regelungen es da gibt, klären wir in unseren neuen Blogbeitrag! 🤓 ➡️Link in Bio!
.
.
.
.
#kamelur #biolebensmittel #bio #vegan #vegetarisch #alkohol #blog #blogpost #drink"
71,"Jetzt neu bei uns: Bio Sonnenblumenöl | kaltgepresst🌻

Praktisch im 10L Kanister für Dressings, Dips, Marinaden und vieles mehr 😍➡️ Link in Bio!
.
.
.
.
#Kamelur #bio #sonnenblumenöl #sonnenblume #öl #vegan #veggie #zumkochen #zumbacken #sunflower"
72,"Tahini - Halva mit Pistazien 🤤 die süße Spezialtität ganz einfach mit nur wenigen Zutaten selbst gemacht 🥰 :

Ihr braucht:
🌿 320g Bio Sesammus (Tahini)
🌿 400g Bio Rohrohrzucker
🌿 50g Bio Pistazien
🌿 1/2TL Bio Vanille
🌿 120ml Wasser

1️⃣ Röstet zuerst die Pistazien ein wenig an. Gebt danach den Zucker mit dem Wasser in einen Topf und bringt es zum köcheln. Rührt den Zucker mit einem Gummischaber ab und zu um. Vorsicht! der Zucker wird sehr heiß.

2️⃣ In der Zwischenzeit das Tahini in eine Schüssel geben und auf mittlerer Stufe rühren. Eine Prise Salz und die Vanille hinzugegeben.

3️⃣ Sobald der Zucker anfängt blasen zu schlagen kann der Zucker zu dem Tahini unter ständigen rühren gegeben werden. Die Mischung für ca. 20 Sekunden aufschlagen.

4️⃣ Die Masse auf ein Backblech mit Backpapier gießen, die Pistazien darauf verteilen und anschließend für 2h abkühlen lassen.

Viel Spaß beim naschen! 😋
.
.
.
.
#Kamelur #Bio #vegan #veganesnaschen #tahini #halva #halwah #sweets #dessert #food #snack #veganesrezept #veganersnack #lecker"
73,Send pics❤️ @food._brand
74,Promote it on ❤️ @food.com____
75,"Ein kleiner Snack für Zwischendurch! 😋 Sesam-Energiekugeln mit Haferflocken, Datteln und Mandeln 😍
➡️ Was Ihr alles dazu braucht findet Ihr in unseren neuen Blogbeitrag 🤓 Link in Bio!

Dir gefällt der Beitrag? Dann lass uns doch gern ein Like oder Kommentar da! 💚
.
.
.
.
#Kamelur #Bio #vegan #veggie #energiekugeln #energieballs #sesam #datteln #snack #food #foodlove #veganerezepte #veganerezeptideen #veganesdeutschand"
76,Send pic ❣️ @dream._food_
77,𝐒𝐞𝐧𝐝 𝐌𝐞 𝐏𝐢𝐜 𝐎𝐧 @food.hub.ig🍒
78,"Cashew oder eher Walnuss, welches Team seid Ihr? 🤓
.
.
.
.
#Kamelur #nuts #walnuss #cashew #bio #biolebensmittel #nuss #nüsse #gesund #gesundimalltag #snack"
79,"Walnuss, voll heimisch"
80,"Just another Smoothie-Bowl 🍎🥝🍌

Es geht doch nichts über eine Bowl zum Frühstück 🤤 Wir haben für euch eine leckere Smoothie-Bowl mit Chiasamen, Kokos und Blaubeeren 😍

Ihr braucht für zwei Portionen:

🌿 einen Apfel
🌿 eine Banane
🌿 zwei Kiwis
🌿 1EL Bio Wildheidelbeerpulver
🌿 2EL Bio Chiasamen
🌿 1 1/2TL Bio Kokosraspeln
🌿 1EL Bio Blaubeeren
🌿 10 Bio Mandeln
🌿 100ml Wasser

➡️ 1 1/2 EL der Bio Chiasamen mit 50ml Wasser kurz quellen lassen. In der Zwischenzeit das Obst klein schneiden und mit dem restlichen Wasser und Wildheidelbeerpulver mixen. Die gequellten Chiasamen hinzugeben und noch einmal kurz quellen lassen. Danach nach belieben mit Chiasamen, Kokosraspeln, Blaubeeren und Mandeln verzieren! 😋 Guten Appetit!
.
.
.
.
#kamelur #bio #vegan #bowl #smoothiebowl #breakfast #blueberries #chia #chiabowl #super #superfood #snack #kokos #coconut #delicious #food #smoothie"
81,Yummy sieht lecker aus 😍
82,Lecker 😍
83,"Sprossen sind bei einer gesunden Ernährung fast nicht wegzudenken 🌱 Auch wir sind ein riesen Fan der kleinen grünen Pflanzen 🥰 Wie Ihr euch die perfekten Sprossen zieht und was Ihr bei den Samen beachten solltet, erklären wir euch in unseren neuen Blogbeitrag!🤓
➡️ Link in Bio!
.
.
.
.
#Kamelur #Bio #Biolebensmittel #sprossen #keimsaat #sprouts #alfalfa #brokkoli #chia #leinsamen #kichererbsen #linsen #keimen #gesund #gesundeernährung #lecker #food #vegan"
84,Send me pic @glisten__world._
85,"Habt Ihr sie schon Probiert: Bio Alfalfa | Keimsaat 🌱

Alfalfa Sprossen sind kleine #Powerpakete und schmecken einfach lecker 😋 Ob in Salat, Bowls oder auf Frischkäse 🥗 Die kleinen Sprossen könnt Ihr ganz einfach selbst auf der Fensterbank ziehen 🌱
.
.
.
.
#kamelur #bio #biolebensmittel #vegan #sprouts #sprossen #microgreens #alfalfa #luzerne"
86,Promote it DM😍 @house_of_food._
