,text
50,"Wann kommt eine Bad Serie? Küche hatten wir ja erst ^^ ich bräuchte dringend ne große für Tampons, am besten eine rote Sorte 😎"
51,Das mit den Tampons is ja mal mega genial 😍
52,Ist es möglich den druck weg zu bekommen?
53,Kreide
54,Ich benutze die Flaschen einfach auch für alles 😂😍😍😍💪🏼
55,💯💯💯
56,🙌❤️
57,Die flaschen sind super
58,Wann kommt die neue Edition?
59,Scheiss auf die Flaschen! Ich will die Hose !!!
60,"Ich frage mich aber schon, warum man Werbung mit und für Nachhaltigkeit macht und dann Tampons in dieser Werbung zeigt 😂"
61,Jetzt müssten nur noch die seifenspender Aufsätze zurück kommen und mein Zuhause wäre komplett. Aber da ist wohl noch ein wenig Geduld gefragt
62,@_minamkr_
63,@_steffi7714_😄
64,@sophia.sfrt und du schmeißt die Gläser weg 😵
65,Und dabei ist @truefruitssmoothies doch so frauenfeindlich 😱
66,Mamma Mia! #deinemudda
67,Liebs😍😍
68,3 Stück habe ich aus der Sammlung bekommen 2 fehlen mir noch 😢
69,❤️
70,Ich will die alten Texte 😭😭
71,😍
72,🔥🔥#love #truefruits
73,"Wie immer leider erst zu spät in den meisten Läden zu finden 🤷‍♀️ Schade eigentlich, könnte man doch besser timen"
74,Finde ich gut 😍
75,*Lieblingsmama* wäre auch schon gewesen 😍 aber Mutter mag ich nicht genannt werden😬
76,"Ich bin mal wieder begeistert von euch ❤️ Fand es immer traurig, dass am Muttertag niemand an die Stiefmama denkt..."
77,"Ich war in 5 verschiedenen Märkten. Keiner hatte die Flaschen. Habe extra gefragt. Das ist wirklich schade, wenn die Sprüche doch schon zum Muttertag passen"
78,"Wo kann man die ""speziellen"" kaufen?"
79,@cercikdresden
80,@se31ba 😉
81,"Danke @truefruitssmoothies
Das wird ein günstiges Geschenk ❤️"
82,Neugierig geworden? Alle Infos findest Du unter true-fruits.com/jobs 🙌🏼
83,Was braucht man denn für Voraussetzungen?
84,Wenn ich dann einen Vorrat mit euren Smoothies bekomme nehme ich mir dafür extra Urlaub von meiner Ausbildung
85,Kann man sich direkt für die memes Abteilung Bewerben?
86,Werbe Abteilung?
87,Hahahaha😂😂
88,"Würde gerne für euch die Witze schreiben, cool danke, dass das so spontan klappt 🔥"
89,"Wenn feste Arbeit + flüssiges Obst, dann ja."
90,😂
91,Viel zu weit weg
92,😂
93,man kann bei euch nh praktikum machen? God damn warum wusste ich das net in der 9 klasse
94,Sehr interessiert darin! Seit ihr auch an eine eventuelle Zusammenarbeit/Werbung etc. interessiert? 😊
95,Bonus: Kostenlose Getränke und Obst.
96,@steffi_r_0205 😄😄
97,"@truefruitssmoothies meiner einer, der zum zweiten Mal innerhalb fünf Jahren, auf Kreta ein mega geiles Auslandspraktikum machen durfte! 💪😎"
98,Putzen macht soooowas von gar keinen Spaß und wird mit unserem neuen Frühjahrsputz-Set bestimmt auch nicht besser. Deshalb erstmal zurück auf die Couch. #verputzmich
99,Als der „Trenn dich“ Smoothie aktuell war habe ich mich 2 Tage später von meinem Ex getrennt. Waren 3 Jahre zusammen. Beste Entscheidung 👍🏽😂
100,💙🧽
101,Könnt ihr diese Upcycling Flaschen bitte nochmal rausbringen? Ich brauch noch die für Kaffee und gut 2 weitere für Nudeln
102,"Endlich Wochenende, einfach mal fallen lassen #boingboing"
103,Hat es gelatine drinne?
104,Bester smoothie 😍
105,Megalecker wenn man es in förmchen einfriert und am Stiel isst 😍😍😍😍😍😍😍😍
106,Ich liebe diese Sorte 😍
107,💚💚💚🫶🏼
108,Mega leckkkkkkaaaa😋
109,Ich habe weder in 73728 Esslingen in 3 großen Supermärkten noch in Stuttgart die Edition käuflich erwerben können :-(
110,So eine geile sorte aber fast immer vergriffen
111,Wie heisst das Stück was hier spielt?
112,Der Moment wenn man lernt in Blender Phsik zu Simulieren xD
113,Lecker! 😋
114,@nin_re dieses Marketing macht mich fertig 😂😂😂😂
115,"Kein Dirty Talk, Du Pisser! #lassdichnichtabziehen"
116,"Und fürs selbstgemachte Desinfektionmittel brauchst Du: Essig, 10-12
Tropfen Teebaumöl 🙌"
117,Wann liefert Ihr wieder in die Schweiz?🥰
118,Dieses Teil zum einfüllen von Wasser war jetzt nicht so nötig
119,❤🧡💛💚💙💜🤎🖤🤍 smoothieliebe
120,😂😂😂😂
121,Checkt eure dm !
122,"Hey @truefruitssmoothies , inwiefern und warum setzt ihr Aromen ein in den Sondereditionen, Bsp. Waldmeister? 🧐 ""100% fruits - no tricks"" war einmal oder? 🤓😉"
123,"You wisch, Du Lappen! #waschlosmitdir"
124,"Und das brauchst Du für den Allzweckreiniger: 1 Spritzer Spülmittel,
1-2 EL Zitronensaft, Wasser 💦"
125,Son Wischi Waschi! Macht mich sauer!
126,Gibt es die Aufsätze auch bald in Goldfarbend?
127,"Hab ich jetzt schon 100mal gesagt, aber euer Marketing ist f******🔥!!!!"
128,"Ich finde die Deckel und das weitere Zubehör echt toll, aber leider zu teuer"
129,sticky counters.
130,Passen die permanent Verschlüsse für die großen Flaschen auch auf die limited edition Flaschen? (Osäft-Flasche mit Leo Muster)
131,😍😍
132,Aber auch nur bei Bonner Wasser. 😂 Kannste in Köln und alle die Kölner Wasser bekommen echt knicken. 😅 Aber riecht schön das Zitronengemisch.
133,Warum nimmt das Betonkopf*innen nicht schon den Trichter bei der Zitrone. 🤦
134,@sasi_lala
135,"Wir wollen mal was ausprobieren und suchen dafür noch das fehlende Puzzelstück: Junges und experimentierfreudiges Unternehmen aus Bonn sucht auf diesem Wege eine humoristische und abenteuerlustige Person für was festes. Erste Erfahrung im Bereich SM sind ein Muss und es wäre schön, wenn Du kein Hundehaar-Allergiker bist. Wenn Du Lust auf ein erstes, unverbindliches Treffen hast, schreib uns an jobs@true-fruits.com #wirsuchenwirklich"
136,"Eure Smoothies sind true, I would love to write for you. Ende."
137,Oh diese Fußstapfen sind GROOOẞ🔥🙌
138,"Bin sponti, späti und humorvoll, ernst, aber nehme mich nicht ganz so ernst. Von Natur aus eher der/die Hunde – Typ/Typin (Hunde mögen meinen Duft nach Freiheit), btw vertrau ich Katzen einfach nicht. Auf der Suche nach dem nächsten Abenteuer, werde ich euch wohl eine Bewerbung schreiben. Vermutlich wird die nicht ganz so cool sein wie ich in Person, aber vielleicht haben wir ein Match und ihr habt Bock auf ein spontanes Treffen in eurer Personalabteilung bei Büroromantik. Ich bringe mich mit und ihr ne Flasche von dem Grünen. Ich mag grün nämlich nicht nur im Glas, sondern auch auf dem Konto. Würde mich freuen von euch zu hören. Gruß Luisa"
139,"Geilste Stellenanzeige ever 😂 schade, dass ihr in Bonn seid."
140,Interesse an Fernbeziehung? 🔥
141,Warum nur seid ihr in Bonn und ich in Augsburg 😅
142,Traumjob 😍
143,🔥🔥 Viel Erfolg! 💪🏼
144,Gibt’s auch nen Tischkicker?
145,"Traumjob, nur zu weit weg 💔"
146,"Wartet auf mich! Ich mach noch ne Woche Urlaub, dann bin ich da 😄"
147,„Dein Profil“ & Wir bieten“ ist einfach mega geschrieben! 👏😂 Liebs!
148,El mejor zumo que me he tomado hasta el día de hoy 💫👍🏻Bravo 🙏🏻😍
149,D?
150,Wollt ihr nicht auch ne Ausbildung im Bereich Marketing anbieten? :(
151,Hier wird geschluckt nicht gespuckt
152,"Jo, könnte heulen, denn da beschreibt ihr doch tatsächlich mich🤩 SM sind meine Initialen und bekanntlich 'nomen est omen'😏 Puzzle sind mein Hobby und bei mir fehlt definitiv auch irgendwas🤣 und hey! Das heißt nicht Hundehaare, das ist Natural Dog Glitter 🥳 die passende Corgi-Glitter-Producerin hätte ich auch noch am Start (übrigens hat die in ihrer Vita bereits ehrenamtliche Feel-Good-Managerin drin stehen😇) Aber leider bin ich schon mega busy als #freshbackedmommy, drücke euch alle Daumen, dass ihr das perfekte, freche Früchtchen für eurer Team findet😍"
153,In 3 jahren komm ich!!!
154,Hätte gern Freitag frei
155,@_glueckauf_ 🙌
156,Grüner wird’s nicht #gibgras #420
157,Neben dem pumpkin spice damals ebenfalls ein absolutes masterpiece😍💚 perfekte note an Waldmeister.
158,"Kann man den bitte dauerhaft einführen? Das ist der perfekte Hauch Waldmeister, den man auch mal als Erwachsener im Leben öfters genießen möchte... Bin kein fan von Wackelpudding. Bitte erlöst mich!"
159,"Heute mal probiert. Wie immer super lecker, aber leider nur in der kleinen Flasche bekommen. Die großen mag ich lieber, schon allein wegen dem doch sehr hohen Preis."
160,Er schmeckt mega geil
161,"Manche Dinge ändern sich wohl nie @truefruitssmoothies : Entweder die Sondereditionen sind immer sofort ausverkauft oder die Supermärkte führen sie überhaupt nicht im Angebot. Jedes Mal das Gleiche, sehr ärgerlich und schade. Das muss doch besser gehen oder? 😕"
162,Eeendlich gefunden und ich liebe ihn! Geht der nicht dauerhaft? 😍
163,Der beste Smoothie 👏
164,"Wichtige Frage, wie steht dieser ""Grüne"" zu:
(Apfel)Kernenergie
Waffellieferungen
Windkraftwerken in (Meister) Wäldern?"
165,HDF
166,Ich glaub ich steh im Wald 🤪 ich habe meinen Meister gefunden
167,@chris_banaskiewicz
168,Bislang der Beste! 🟢
169,"Hab ihn eben probiert, nach Waldmeister schmeckt der aber gar nicht. Habe mir mehr erhofft. 😢"
170,👏
171,Schmeckt hammer 🔨
172,"Schade, dass er so sauer ist und nicht mehr in die vanille Richtung geht"
173,So geil der smoothie ❤️❤️❤️❤️❤️
174,Hdgdl eher 😅
175,"Wenn Du den Wald vor lauter Arsch nicht siehst #habenallesdurchforstet #forstthingsforst

PS Unsere Smoothies gibt´s auch in der Schweiz! 🇨🇭"
176,Wie immer alles 👏😍😂👍🏻 bei euch!!!
177,Lieben wir 🙌
178,😂😂😂👏🔥🙌❤️
179,😂
180,👏😂
181,Was ist letzter Preis?😀
182,So ein mist
183,"In welchen Läden kann man eure Pampe eigentlich kaufen? Ich schaue mir immer eure Posts an und weiß nie, wo ich die kaufen soll"
184,Kein Interesse - könnt 🇨🇭 gerne fernblieben. #notoracism
185,Warum ist das Grün? Ein Arschwald wäre so oder so braun… 😂
186,"Als ich noch Traumfahrer war, war mein größter Alptraum in ein Arschteroiden Feld zu fliegen"
187,"Wieder mal geil. Bei ""Arschwald"" habe ich lustige Bilder im Kopf😂"
188,Sumpfarsch wär jetzt lustiger gewesen.
189,@kugelfuhr 😍😂
190,@verena.nena 😂
191,@_misssandra1808_ @______ndne_m_____
192,@fr_schoelau 😂
193,@me.kristin 😂😂😂
194,@riderpixx 🌬🫧
195,@ninaj286 😂 haha dieser Untertitel
196,Unser Stößchen-Gebet #nichtüberkreuz #waldmeisterstück
197,Oh ja am besten ist wackelpudding mit Sahne oben drauf!
198,"Genial genau das richtige für waldmeisterchunkies , ❤️❤️❤️❤️❤️"
199,🔥🔥🔥🔥
200,Wo kann man das kaufen
201,Schmeckt
202,Das macht mir Angst 👀😄
203,"Langes Wochenende: Zeit für eine kleine Spritztour #dersprühlingistda

PS unseren Sprühaufsatz für die 99 ml & 250 ml Pullen gibt´s in unserem Onlineshop"
204,Und wo bleibt der Seifenspender? Ich warte schon seit über einem Jahr… immer wieder würde der Zeitraum wo es den wieder geben soll nach hinten verschoben
205,@eve.bailes 😍
206,Wenn Du den Meister vor lauter Wald nicht siehst #weilbaum #waldmeisterstück
207,Könnt ihr den nicht einfach für immer im Programm lassen? 🤤
208,Der erste grüne smoothie der mir schmeckt. Ich hoffe er darf dauerhaft ins Sortiment 😍
209,"Sau lecker.. Ich schließe mich den Meinungen an, bitte im Sortiment lassen 😍🔥"
210,Gestern 2x geholt meeeega lecker 😍😍😍😍
211,Die sind zu lecker 🤤😍 sollte echt im Sortiment bleiben 😁😍
212,"Habe ihn heute entdeckt und probiert. Schmeckt ganz gut, aber dafür dass mit so viel Waldmeister geworben wurde, zu schwach 😢 ich liebe Waldmeister und hatte mich total gefreut, aber er schmeckt wirklich fast nur nach Apfel und Limette..."
213,Den sollte es immer geben...der ist mega lecker 😋
214,"War gestern und heute in 3 (größeren) Supermärkten in 73728 Esslingen a.N., keiner hatte die Waldmeister Edition ! 🙄"
215,Von denen hatte ich schon einige. Aber die Blauen…? 😢
216,Heute entdeckt.
217,@catzia_ 😇
218,@annalna_kgl brauchst du noch welche Mausi ? Die scheinen die im Überfluss zu haben 😅❤️🔐
219,@andhadesfollowedher Da isses 😍
220,@jassikorbmann muss ich probieren 😱
221,"Der Sprühling ist endlich da, und zwar für groß & klein. Ab jetzt liegen beim Sprühaufsatz zwei Röhrchen bei. Ein kurzes für die 99 ml Fläschchen und wie gewohnt ein langes, für die 250 ml Pullen. Mehr unter true-fruits.com/flaschenaufsaetze #sprühlingsgefühle"
222,und dann sprüh' ich mir den Saft in den Mund?!
223,"Gibt es eure Aufsätze eigentlich noch bei Kaufland zu kaufen? Ich habe die bei uns nur 1x gesehen und dann nie wieder. :/ Fand ich super schade, weil ich immer stückweise die Deckel kaufen würde."
224,Wie niedlich 🥰
225,Nice
226,Wo finde ich den 😢😢😢😢☹
227,Super...dann brauch ich den nicht mehr abschneiden und kann ihn auch wieder für die Flasche benutzen 😊
228,Mega cool!!! 😍😍😍 Darauf habe ich seit dem ersten Shot gewartet!! 🥳😁
229,Kein echter Schleimer #aufdenschleimgegangen #waldmeisterstück
230,Was ist da denn alles drin?
231,💚Waldmannsgeil 💚🥳🥳…aber wirklich 👍🏻💚
232,Schon probiert und für Genial befunden 💚 mega erfrischend und voll mein Geschmack 💚 Danke dafür 👍☀️✌
233,❤️😍
234,😍😍😍😍😍
235,😍
236,soo gut👌🏻👌🏻👌🏻👌🏻
237,In Österreich auch zu kaufen?
238,Echt gut! Nur dürfte es nach meinem Geschmack mehr nach Waldmeister schmecken 😋
239,"Druckt mal Sonnenblumen Öl drauf … 🎊
würd gern den Shitstorm in den Kommentaren mitlesen, wenn Leutchen ihre Pommes darin brutzeln und sich fragen warum es nicht funktioniert 🤷🏼‍♂️😅"
240,Sehr sehr lecker 💪🏻😃
241,#gekauft
242,Fand ihn geschmacklich top👏
243,Sehr sehr lecker....❤️
244,"Schön ein Pils dabei, Freibad feeling ❤️"
245,"Kann man die komplett und bunt bedruckten Flaschen, wie z.B. diese, auch problemlos im Altglas entsorgen? Und wenn ja, im weißen? Oder lieber im grünen, wo auch anderes, z.B. blaues Glas, nicht auffällt?"
246,"Soooo sooo lecker, total mein Geschmack - ich liebe Waldmeister"
247,"Heute gesehen, und zweimal geholt so unfassbar lecker 😍❤️"
248,Die beste Sorte von euch. Auch wenn sie sehr Teuer ist😍
249,Wo gibts den? Noch nirgendwo gefunden 😮
250,"Göttlich, diese Speise! Unsere neue Frühlingsedition Waldmeister Smoothie ist ein guter Grün mal wieder die Kühlregale zu durchforsten. Ab jetzt im Supermarkt #waldmeisterstück #frühlingsedition #truefruits"
251,Wo wo woooo???😮😍😮
252,Sehr lecker!👏
253,Lieb ich
254,Gestern gefunden 😍
255,Ab jetzt? Die waren letzte Woche in den Kühlregalen und sind jetzt schon alle vergriffen 😮‍💨 bissl spät euer Post
256,👏 Mega lecker! 🌱🌱🌱 heute schon bei Real gefunden
257,🤤
258,2000 vibes
259,💚💚göttliche Köstlichkeit 😍🤩😍!!!
260,Sososoooo lecker 😋
261,Sehr...sehr lecker 😋
262,Und der ist der Knaller 💥💚!! Wirklich unheimlich lecker 🤤
263,Nach der ersten Flasche gleich noch welche nachgekauft. Der Geschmack geht doch das ganze Jahr. 😉
264,Sooooooo 🤤🤤🤤
265,Offiziell einer meiner liebsten Sorten!! 😍
266,😍der ist lecker❤️
267,💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch nach österreich💚bitte auch na-
268,Wäre toll wenns den in jedem Laden geben würde 😊
269,Trink ihn Grad 😍
270,Steht bei mir schon auf dem Tisch 👀
271,Morgen gibts gute Grüne hier noch mal vorbeizuschauen ✌️
272,Schon probiert. Sehr lecker 😍
273,Steht im Kühlschrank 👏
274,Schon getrunken. Sehr lecker! 😋👍🏻
275,Waldmannsgeil!
276,💚💚💚
277,"Kommt da etwa was""großes"" auf uns zu?😅"
278,"Ganz schön fies Werbung zu machen, wenn alle schon vergriffen sind 😢"
279,Cool mein Rewe hatte das schon vor ner Woche
280,Heute morgen durch Zufall gesehen.. Schmeckt genauso wie das Bild aussieht 😂
281,Hab ich schon hier. Waldmeister.
282,"Sehr lecker, sehr gern ganzjährig. 🤤💚"
283,Will auch 😮🔥
284,Sehr lecker......
285,N richtig guder geworden.
286,Habs probiert lol. 9/10
287,😋
288,Der ist richtig nice. Bitte in groß abfüllen
289,Na endlich gebt ihr uns auch mal bescheid👏❤️❤️😂
290,"Ihr hättet eine grüne Smoothie Flasche in den wackelpudding packen sollen, die „the Office“ Fans wissen schon was gemeint ist 😂"
291,Hab ich schon im Kaufland gekauft 😂
292,"+++AUSVERKAUFT+++
Ascher, yeah, yeah!!! Zusammen mit @ljubaveurope präsentieren wir unseren Aschenbecheraufsatz für die 250 ml Pulle. Du findest das gute Stück ab jetzt und nur für kurze Zeit in unserem Onlineshop. Die passende Flasche gibt´s aktuell im Supermarkt um die Ecke. #truefruitsxljubav #rauchtmannicht"
293,🚬🤮
294,😢😢 oh man
295,Wie viele Aufsätze gab es denn insgesamt? Das ist ja der Wahnsinn wie schnell das ging! Habe noch nicht mal ein Smoothletter dazu erhalten 😯
296,Was macht ljubav?
297,Wird der nochmal produziert??
298,Leider keine bekommen! Gleich nach dem Newsletter rein und schon ausverkauft 😭😭😭😭
299,Kann mir mal einer erklären was das für eine Marke sein soll ? Der Begriff bedeutet im serbisch-kroatischen Liebe von der Marke hab ich jedoch nie was gehört
300,Restock !!!!
301,😢😢 plant ihr einen Restock? Bei Ljubav direkt auch sofort ausverkauft
302,"Mega ! Will ich haben, obwohl ich nicht rauche!"
303,Vor 4 Minuten gepostet und direkt ausverkauft? Wtf?
304,Kommt der Aufsatz noch mal online
305,Krass
306,Woahhh ich freu mich endlich mal ein paar ergattert 😁😁😁
307,Das ging wirklich zu schnell 😭😭
308,Schön die Davidoff Kippe NICE 🔥
309,😍ergattert😍
310,"Ich fand euch immer gut, aber rauchen …find ich halt doof …"
311,Juhuuu hatte endlich mal wieder Glück freu mich drauf 🙌
312,smoothie & kippe einfach komplette ernährungspyramide
313,Nur der Filter bringt die Bilder #gutepartie #zigarettedichdurchdenabend #truefruitsxljubav
314,Der Teppich !!! Kindheit 😂😂
315,Gibts die Aufsätze eventuell nochmal? 😢 schon ausverkauft 😢
316,"Das ist ein merch eines rapper namens "" Rin "" truefruits hat eine Kooperation mit ihm"
317,Bondage Cats 🐈 hatte ihr aber schon!🧸🐾🫣😉
318,Mega!!!👏👏👏👏👏
319,Zu Bild Nr. 3: ich hoffe es sind Klebestreifen 😈
320,👎🏻👎🏻👎🏻
321,Es heißt „Ich möchte“ 🤪🤪
322,Sory aber nach der ganzen Werbung denke ich es schmeckt nach Zigaretten 😂🙌 Spaß
323,Dachte es hieße „je Filter desto tilter“ ?!
324,Braucht es wirklich im Jahr 2022 eine Zigaretten-verherrlichende Kampagne eines Smoothie Herstellers ? Versteh ich nicht & finde ich zugegebenermaßen absolut scheisse.
325,"Kinder, die was wollen..."
326,Icb mag eure Getränke wirklich sehr und werde sie auch weiter kaufen aber eine Kampagne die das rauchen 🚬 so in den Vordergrund stellt finde ich nicht sehr gut gewählt. JA ich weiß es geht nicht ums rauchen an sich … Kooperation hin Kooperation her ja Werbung ist ok … ich finde sie nicht gut gewählt
327,Den Aschenbecher hätte ich echt gerne
328,Nach was schmeckt es denn???
329,Das ist von RIN :) 😍
330,Ich auch
331,Echt uncool
332,"Ich check jetzt irgendwie immer noch nicht den Sinn dieser Flaschen und vorallem die Zigarette🧐. Sorry, not sorry, aber bringt doch lieber mal die Frühlingsedition raus😍. Euer erste Beitrag in den letzten 2 Jahren hierzu waren in der 13. KW."
333,Diese ganzen leute hier mit stock im arsch junge amen
334,kein Durchblick #rauchtmannicht #truefruitsxljubav
335,@aditotoro bist du das ?!🤔
336,Gar keinen
337,Wo gibt es die in Bochum????
338,Wo gibt's die im Rhein-Sieg Kreis
339,Noch Asche übrig? #rauchtmannicht #truefruitsxljubav
340,Sieht aus wie Shisha Tabak
341,"Geld spielt die Musik, auch bei Kooperationen"
342,😍😍😍👏👏👏👏👏👏👏🇭🇷🇭🇷
343,"Hab das aber bei einem unserer Kunden gesehen, wird’s den Aschenbecher Aufsatz auch für normalsterbliche geben? 🤔"
344,Damn! Was ne Kombo
345,Ljubav 😉✌️
346,😡😡😡😡😡😡😤😤😤😤😤😤😤😤😤😤😤😤😤😤😤😤😤😤👊💪
347,"„Ich rauche nur, wenn ich blau bin.“ #rauchzeichen #rauchtmannicht"
348,Ich hab heute was neues GRÜNES im Regal gefunden 👏
349,Ganz mein Motto ❤️
350,"Ich bin nur blau, wenn ich rauche."
351,Darf ich Spoilern??? Ich habe schon wieder den Waldmeister… zur Zeit bin ich schneller als ihr mit euren Anzeigen 😜
352,Auch nur den grünen gefunden 😢 need the blue one🤷😁
353,Ich Rauche blau manchmal rot manchmal weiß 🏳
354,@gabriel.turcanu 😂😂
355,💙
356,Bis jetzt keine gefunden….
357,Die Dinger sind seltener als Supreme Box-Logo
358,Ich dachte zuerst es wäre eine Koop mit AdBlue. Am Besten mit Harnsäure 🤣🤣🤣
359,An die die nichts finden und aus Hamburg kommen: Rewe direkt neben Bahnhof Altona (die haben immer limited Editions)
360,Habe bis heute keine gefunden
361,Nicht mal in Bietigheim oder Stuttgart welche gefunden :(
362,Heute gecoppt
363,💙
364,😂😂😂😂😂😂
365,💙
366,In Dresden zufällig schon jemand gefunden ? 🥲
367,wo könnte man sie in der schweiz finden?
368,Vor fast 2 Wochen gesehen und direkt gekauft💪🏼
369,Bereits zusammen mit Waldmeister in GV im Kaufland entdeckt
370,in der Schweiz noch nicht gefunden :((
371,We need the Aschenbecher Aufsatz in Silber 🥹
372,Gerade gekauft 👍🏻
373,Ljubav ist die Macht 💙
374,In Mettmann gibts noch welche 😁
375,💙💪🏻
376,Zieh’s Dir rein! #truefruitsxljubav #rauchtmannicht
377,Könnt ihr nochmal in den Supermärkten nachfüllen oder nachliefern hab leider nichts gefunden :( oder wie gesagt keine bekommen @truefruitssmoothies
378,"wooo in berlin, ich hätte sie so so gerne 🥲"
379,Bei uns im Dorf steht der gefühlt 50x im Regal 😅
380,@rewe.bugenhagen habt ihr noch Flaschen da?😊
381,@laurapske das meinte ich
382,@dvxns wenns die nicht bei uns im rewe gibt abmahnung für den Chef
383,Hat die schon jemand in Dresden gefunden ? 🥹🥹🥹
384,Edeka?
385,wo könnte man sie in der schweiz finden?
386,Ich hab sie 😍
387,Hab noch eine volle dm ab mich haha
388,Unser Rewe hat keine 😢My Disappointment is Immeasurable and My Day is Ruined
389,wie bestellen?😮
390,"Bei uns gibt es die seit Wochen, was die mir sagen sollen versteh ich immer noch nicht"
391,@roystiger.ve konntest du schon probieren?
392,Nervig ... gibt's doch alle immer wieder nur in wenigen Shops ... oder Jahre später! Bin raus ...
393,wo sind die in der schweiz?
394,In Frankfurt schon ergattern können
395,Verfügbar in der Schweiz?
396,Die gibts garnicht ihr Lügner 🤥
397,"Bist Du fetisch für nen neuen Job? Wir suchen einen Social Media Manager &
Texter (m/w/d). Swipe für alle Infos & schreib uns an jobs@true-fruits.com #ichhöreauf #antisocialsocialmediaclub #truefruits"
398,@caro_encamino na wie wäre es?
399,@truefruitssmoothies where I can orden some of these? I tried this week and I loved it! ❤️
400,"Bonn, wa? Meh."
401,Das wäre Nice
402,@jonesbua 😁😉
403,@tommyslehrreichelehrfilme dein Neuer job!
404,Schade dass ihr in Bonn sitzt ;)
405,"Oh Mann, wie cool ist eure Stellenausschreibung 🤷 hat man auch als Quereinschei.. -Steiger eine Chance bei euch? 😂"
406,"Ich machs für 4,5k , 100% home office & frei suff. #bwerbung #textdrugsandrocknroll"
407,@jasminbtnr @anna.kay.kay Solche Stellenanzeigen 😄😍
408,"Warum Bonn, warum? 🥺👀"
409,Nur in Bonn ?
410,@sonca_84 😜
411,"Auferstehen, Frühstück ist fertig! 🐣
PS Unser Oster Set mit sechs Smoothies und zwei Aufsätzen findest Du jetzt auf true-fruits.com #eiloveyou #truefruits"
412,Die neuen Waldmeister Flaschen sind cool und lecker 😍❤️
413,Ist die Flasche mit Hafermilch aktuell oder kommt die noch?
414,"Bald ist Ostern, Unternehmen locken mit Osterangeboten und machen schlechte Eier-Wortwitze. Und wir machen mit: Wenn Du Eier hast, bestellst Du jetzt unser Oster-Set. Hase noch nicht bestellt? Dann gib uns kein Körbchen und Kücken mal mit Deinem EiPhone in unserem Onlineshop vorbei. #ohweiohwei #eiloveyou #truefruits"
415,Love it! 😍
416,Ihr seid unfassbar geil im Texten... Daumen hoch 👍
417,@__.patrick.____ der Text 👌
418,@ishaltjetztso Und deswegen solltest du dich bei truefruits bewerben 😄🙌🏼
